plate	No.	Name	SMILES	RTI	exact mass	formula	logP	Mix	rti_ref	rti_flow_0.20	rti_flow_0.25	rti_flow_0.35	rti_flow_0.40
Plate 1	12	FOLATE	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	NA	441.13968136	C19H19N7O6	-0.682200202289524	P1_G	545	521	534	553	559
Plate 3	8	FAD	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2	NA	785.157135395	C27H33N9O15P2	-4.681078144323201	P3_D	546	520	534	554	562
Plate 4	11	ANILINE-2-SULFONATE	C1=CC=C(C(=C1)N)S(=O)(=O)O	NA	173.014664263	C6H7NO3S	0.10179620433501457	P4_A	345	356	355	351	349
Plate 4	9	CYANOCOBALAMIN	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]	NA	1354.5674	C63H89CoN14O14P	-2.1834897966071827	P4_G	567	541	555	575	582
Plate 5	9	3-HYDROXYBENZALDEHYDE	C1=CC(=CC(=C1)O)C=O	1.382182839	122.036779433	C7H6O2	1.382182839	P5_A	590	570	566	563	560
Plate 5	5	2,3-DIHYDROXYBENZOATE	OC(=O)C1=CC=CC(O)=C1O	NA	154.026608673	C7H6O4	1.6736980806666664	P5_D	559	562	439	559	436
Plate 5	7	INDOLE-3-ETHANOL	OCCC1=CNC2=CC=CC=C12	NA	161.084063978	C10H11NO	1.5933192466666666	P5_D	706	718	709	706	666
Plate 5	10	PHENYLETHANOLAMINE	NCC(O)C1=CC=CC=C1	NA	137.084063978	C8H11NO	0.46867930999999985	P5_D	379	307	303	306	308
Plate 5	3	METHYL VANILLATE	COC1=C(C=CC(=C1)C(=O)OC)O	NA	182.057908802	C9H10O4	1.5154861926666663	P5_F	601	604	601	561	562
Plate 5	7	3-(4-HYDROXYPHENYL)PYRUVATE	OC(=O)C(=O)CC1=CC=C(O)C=C1	NA	180.042258738	C9H8O4	1.596648451333333	P5_F	685	550	553	559	560
Plate 5	7	3-(2-HYDROXYPHENYL)PROPANOATE	OC(=O)CCC1=CC=CC=C1O	NA	166.062994182	C9H10O3	1.7519974486666663	P5_G	662	981	665	660	659
Plate 6	11	OXOADIPATE	C(CC(=O)C(=O)O)CC(=O)O	NA	160.037173358	C6H8O5	0.33530536533333316	P6_A	320	318	319	320	306
Plate 6	11	ADIPATE	OC(=O)CCCCC(O)=O	NA	146.057908802	C6H10O4	0.4906543626666667	P6_B	456	484	479	465	473
Plate 6	5	INDOLE-3-METHYL ACETATE	COC(=O)CC1=CNC2=C1C=CC=C2	NA	189.078978598	C11H11NO2	1.8556501543333335	P6_C	915	1060	928	968	957
Plate 6	9	2-METHYLMALEATE	CC(=CC(=O)O)C(=O)O	NA	130.026608673	C5H6O4	0.35463615800000003	P6_C	385	416	412	370	393
Plate 6	10	1-PHENYLETHANOL	CC(O)C1=CC=CC=C1	NA	122.073164942	C8H10O	1.6224710733333327	P6_C	830	864	845	820	811
Plate 6	6	INDOLEACETALDEHYDE	O=CCC1=CNC2=CC=CC=C12	NA	159.068413914	C10H9NO	1.5511398459999997	P6_D	481	517	521	518	482
Plate 6	8	3-HYDROXYPHENYLACETATE	OC(=O)CC1=CC=CC(O)=C1	NA	152.047344118	C8H8O3	1.3074287836666667	P6_D	569	692	684	670	663
Plate 6	9	4-METHYLCATECHOL	CC1=CC(O)=C(O)C=C1	NA	124.052429498	C7H8O2	1.8795365619999997	P6_D	402	418	416	415	415
Plate 6	3	HYDROXYPHENYLLACTATE	OC(CC1=CC=C(O)C=C1)C(O)=O	NA	182.057908802	C9H10O4	0.8809315280000001	P6_E	483	568	571	575	577
Plate 6	7	PYRROLE-2-CARBOXYLATE	OC(=O)C1=CC=CN1	NA	111.032028405	C5H5NO2	0.6307139603333332	P6_E	495	326	321	324	323
Plate 6	9	PHENYLACETATE	OC(=O)CC1=CC=CC=C1	NA	136.052429498	C8H8O2	1.610994105333333	P6_E	484	488	487	585	577
Plate 6	10	RESORCINOL MONOACETATE	CC(=O)OC1=CC=CC(=C1)O	NA	152.047344118	C8H8O3	1.2769414686666662	P6_E	684	692	684	670	663
Plate 7	11	LITHOCHOLATE	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C	NA	376.297745148	C24H40O3	5.022070320666666	P7_A	1553	1557	1554	1706	1550
Plate 7	1	LINOLEATE	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	NA	280.24023027	C18H32O2	6.421876794333333	P7_D	1885	1883	1883	1760	1635
Plate 7	5	QUINOLINE	C1=CC=C2N=CC=CC2=C1	NA	129.057849229	C9H7N	2.1309004713333333	P7_E	986	1063	975	989	504
